[2025-06-30 00:03:31] front.INFO [N/A] [92cf1f7] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /products/add_cart/103, 85.208.96.210, NULL, Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)]
[2025-06-30 00:03:31] front.INFO [N/A] [92cf1f7] [N/A] [Eccube\Log\Logger:log:66] - アクセスできません。 ["No route found for \"GET /products/add_cart/103\": Method Not Allowed (Allow: POST)","/home/anotherworld/www/s-africa.wine/vendor/symfony/http-kernel/EventListener/RouterListener.php",141] [GET, /products/add_cart/103, 85.208.96.210, NULL, Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)]
[2025-06-30 00:03:31] front.INFO [N/A] [92cf1f7] [N/A] [Eccube\Log\Logger:log:66] - LOGIC END [null] [GET, /products/add_cart/103, 85.208.96.210, NULL, Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)]
[2025-06-30 00:03:31] app.INFO [N/A] [92cf1f7] [N/A] [Eccube\Log\Logger:log:68] - PROCESS END [null] [GET, /products/add_cart/103, 85.208.96.210, NULL, Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)]
[2025-06-30 00:05:39] front.INFO [N/A] [25772ad] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /products/detail/114, 52.167.144.18, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36]
[2025-06-30 00:05:39] front.INFO [N/A] [25772ad] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["product_detail"] [GET, /products/detail/114, 52.167.144.18, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36]
[2025-06-30 00:05:39] front.INFO [N/A] [25772ad] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["product_detail"] [GET, /products/detail/114, 52.167.144.18, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36]
[2025-06-30 00:05:39] php.INFO [N/A] [25772ad] [anon.] [Symfony\Component\Debug\ErrorHandler:handleError:532] - User Deprecated: The repository_method option of @ParamConverter is deprecated and will be removed in 6.0. Use the expr option or @Entity. {"exception":"[object] (ErrorException(code: 0): User Deprecated: The repository_method option of @ParamConverter is deprecated and will be removed in 6.0. Use the expr option or @Entity. at /home/anotherworld/www/s-africa.wine/vendor/sensio/framework-extra-bundle/Request/ParamConverter/DoctrineParamConverter.php:314)"} [GET, /products/detail/114, 52.167.144.18, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36]
[2025-06-30 00:05:39] php.INFO [N/A] [25772ad] [anon.] [Symfony\Component\Debug\ErrorHandler:handleError:532] - User Deprecated: The repository_method option of @ParamConverter is deprecated and will be removed in 6.0. Use the expr option or @Entity. {"exception":"[object] (ErrorException(code: 0): User Deprecated: The repository_method option of @ParamConverter is deprecated and will be removed in 6.0. Use the expr option or @Entity. at /home/anotherworld/www/s-africa.wine/vendor/sensio/framework-extra-bundle/Request/ParamConverter/DoctrineParamConverter.php:314)"} [GET, /products/detail/114, 52.167.144.18, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36]
[2025-06-30 00:05:39] front.INFO [c68e12c2] [25772ad] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["product_detail"] [GET, /products/detail/114, 52.167.144.18, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36]
[2025-06-30 00:05:39] app.INFO [N/A] [25772ad] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["product_detail"] [GET, /products/detail/114, 52.167.144.18, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36]
[2025-06-30 00:14:21] front.INFO [N/A] [b4da26e] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /products/list?category_id=28&pageno=3, 57.141.2.17, NULL, meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)]
[2025-06-30 00:14:21] front.INFO [N/A] [b4da26e] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["product_list"] [GET, /products/list?category_id=28&pageno=3, 57.141.2.17, NULL, meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)]
[2025-06-30 00:14:21] front.INFO [N/A] [b4da26e] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["product_list"] [GET, /products/list?category_id=28&pageno=3, 57.141.2.17, NULL, meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)]
